title,vector_14d
ÂI am happy living simplyÂ,"[0.5, 1.0, 0.15, 1.4, 1.3063945294843617, 1.0, 0.3333333333333333, 0.12121212121212122, 0.24675324675324675, 0.7750284809336726, 14.0, 0.4, 0.6, 0.4]"
Lucia,"[0.1, 1.0, 0.05, 12.5, 0.0, 1.0, 1.0, 0.1919191919191919, 0.3092369477911647, 0.8091392873271852, 125.0, 0.4, 0.7272727272727273, 0.1]"
Political Reflection,"[0.2, 1.0, 0.05, 0.6, 0.0, 1.0, 1.0, 0.25, 0.36363636363636365, 0.7289014483962256, 6.0, 0.4, 0.7692307692307693, 0.1]"
Sonnet 116: Let me not to the marriage of true minds,"[1.1, 1.0, 0.35, 1.5571428571428572, 0.45175395145262565, 0.8571428571428571, 0.2857142857142857, 0.23214285714285715, 0.3431952662721893, 0.7260148162394976, 15.571428571428571, 0.4, 0.6111111111111112, 0.1]"
Eagle Poem,"[0.2, 1.0, 0.1, 5.75, 1.5, 1.0, 0.5, 0.20238095238095238, 0.30165289256198347, 0.8092736564600278, 57.5, 0.4, 0.75, 0.5]"
The House of Life: 97. A Superscription,"[0.7, 1.0, 0.4, 1.325, 1.4958275301651591, 0.625, 0.25, 0.15853658536585366, 0.35789473684210527, 0.7819693290758827, 13.25, 0.6, 0.6, 0.1]"
Going Back,"[0.2, 1.0, 0.2, 8.725, 6.447286250819022, 1.0, 0.25, 0.18076923076923077, 0.2875722543352601, 0.8140761127029353, 87.25, 0.4, 0.6875, 0.5]"
"To His Mother, Whose Name Was Maria","[0.7, 1.0, 0.05, 6.8, 0.0, 1.0, 1.0, 0.2692307692307692, 0.24836601307189543, 0.8359496062830966, 68.0, 0.4, 0.5882352941176471, 0.5]"
Ellis Island,"[0.2, 1.0, 0.3, 1.7, 1.6931233465600393, 1.0, 0.16666666666666666, 0.1625, 0.35638297872340424, 0.7563317302634189, 17.0, 0.4, 0.7692307692307693, 0.1]"
Ear,"[0.1, 1.0, 0.1, 1.0, 1.2, 1.0, 0.5, 0.16666666666666666, 0.38095238095238093, 0.6401166019318248, 10.0, 0.4, 1.0, 0.5]"
Heath XXIX,"[0.2, 1.0, 0.85, 1.7470588235294116, 2.991845896518086, 0.9411764705882353, 0.11764705882352941, 0.16176470588235295, 0.33512544802867383, 0.7812965450986863, 17.470588235294116, 0.4, 0.6666666666666666, 0.1]"
There was a little girl,"[0.5, 1.0, 0.2, 0.8, 0.7071067811865476, 1.0, 0.25, 0.3, 0.3829787234042553, 0.728991099385317, 8.0, 0.6, 0.5833333333333334, 0.3]"
Summer Job,"[0.2, 1.0, 0.05, 12.3, 0.0, 1.0, 1.0, 0.2127659574468085, 0.24170616113744076, 0.8192382295192772, 123.0, 0.4, 0.7333333333333333, 0.5]"
The Dong with a Luminous Nose,"[0.6, 1.0, 0.2, 15.425, 37.60515257248666, 1.0, 0.25, 0.11284046692607004, 0.32146118721461187, 0.7867395940615735, 154.25, 0.4, 0.6, 0.1]"
Namaste,"[0.1, 1.0, 0.35, 3.6428571428571432, 2.7189433721989302, 1.0, 0.14285714285714285, 0.1896551724137931, 0.3191489361702128, 0.7843545773443394, 36.42857142857143, 0.4, 0.625, 0.2]"
In my medicine cabinet,"[0.4, 1.0, 0.05, 1.0, 0.0, 1.0, 1.0, 0.0, 0.35, 0.7087069153737778, 10.0, 0.4, 0.7272727272727273, 0.3]"
Aspens,"[0.1, 1.0, 0.3, 3.2333333333333334, 0.5120763831912406, 1.0, 0.16666666666666666, 0.1678832116788321, 0.35331230283911674, 0.7593412657767797, 32.333333333333336, 0.4, 0.8333333333333334, 0.1]"
When She WouldnÂt,"[0.3, 1.0, 0.45, 6.211111111111111, 6.552654725423681, 1.0, 0.1111111111111111, 0.11714285714285715, 0.35529157667386607, 0.7609681926974258, 62.111111111111114, 0.4, 0.9166666666666666, 0.1]"
The House of Time,"[0.4, 1.0, 0.4, 3.6875, 7.697036767483965, 1.0, 0.125, 0.1989795918367347, 0.3200663349917081, 0.7790131570405165, 36.875, 0.4, 0.8333333333333334, 0.6]"
The Skull of Shakespeare,"[0.4, 1.0, 0.85, 1.311764705882353, 1.3175420126194461, 0.6470588235294118, 0.23529411764705882, 0.14814814814814814, 0.33423180592991913, 0.7713520704113628, 13.117647058823529, 0.4, 0.6428571428571429, 0.1]"
Yarrow Unvisited,"[0.2, 1.0, 0.15, 10.6, 16.369076536770994, 1.0, 0.3333333333333333, 0.16216216216216217, 0.30842607313195547, 0.7944255087605562, 106.0, 0.4, 0.6470588235294118, 0.2]"
On the Subject of Doctors,"[0.5, 1.0, 0.2, 2.7, 1.876166303929372, 1.0, 0.25, 0.18681318681318682, 0.30042918454935624, 0.8082326015683933, 27.0, 0.4, 0.6666666666666666, 0.5]"
Fire Victim,"[0.2, 1.0, 0.15, 4.2, 2.0848661028149187, 1.0, 0.3333333333333333, 0.2441860465116279, 0.358974358974359, 0.7562991389756185, 42.0, 0.4, 0.875, 0.1]"
notes,"[0.1, 1.0, 0.45, 4.211111111111111, 7.204593870545804, 1.0, 0.1111111111111111, 0.17727272727272728, 0.28735632183908044, 0.8148440284317062, 42.111111111111114, 0.4, 1.0, 0.1]"
Knocking or Nothing,"[0.3, 1.0, 0.1, 7.85, 11.1, 1.0, 0.5, 0.16312056737588654, 0.3074433656957929, 0.8134045866478424, 78.5, 0.4, 0.8181818181818182, 0.3]"
What the Goose-Girl Said About the Dean,"[0.7, 0.8571428571428571, 0.15, 2.9, 1.883259585576738, 0.6666666666666666, 0.6666666666666666, 0.24509803921568626, 0.3194444444444444, 0.7482694532693782, 29.0, 0.4, 0.6666666666666666, 0.6]"
Li Hua's Messenger,"[0.3, 1.0, 0.25, 1.8, 1.734358671094304, 1.0, 0.2, 0.13157894736842105, 0.30303030303030304, 0.7272137113146645, 18.0, 0.4, 0.7692307692307693, 0.2]"
Alms for the Beekeeper,"[0.4, 1.0, 0.15, 1.5333333333333334, 0.9977753031397176, 1.0, 0.3333333333333333, 0.21212121212121213, 0.30526315789473685, 0.8005458390672113, 15.333333333333334, 0.4, 0.9090909090909091, 0.5]"
"Upon Reading That Eric Dolphy Transcribed Even the Calls of Certain Species of Birds,","[1.4, 0.9285714285714286, 3.35, 1.3537313432835822, 2.5808313732140498, 0.45454545454545453, 0.13636363636363635, 0.09838472834067548, 0.2912801484230056, 0.7900594765936182, 13.537313432835822, 0.4, 0.8181818181818182, 0.1]"
Peace,"[0.1, 1.0, 0.55, 0.8727272727272727, 0.3201239429392547, 0.45454545454545453, 0.36363636363636365, 0.136986301369863, 0.3699421965317919, 0.7833022481948433, 8.727272727272727, 0.4, 0.75, 0.4]"
Wind In Mytilene,"[0.3, 1.0, 0.05, 5.2, 0.0, 1.0, 1.0, 0.13793103448275862, 0.2966101694915254, 0.7646683868028376, 52.0, 0.6, 0.625, 0.3]"
Antiquity Calling,"[0.2, 1.0, 0.2, 2.425, 1.3665650368716449, 1.0, 0.25, 0.22033898305084745, 0.3058823529411765, 0.7727156547266816, 24.25, 0.4, 0.7, 0.5]"
One Morning,"[0.2, 1.0, 1.1, 0.5590909090909091, 0.8260730562213467, 0.9090909090909091, 0.09090909090909091, 0.21428571428571427, 0.33031674208144796, 0.7621158650514364, 5.590909090909091, 0.4, 0.8, 0.5]"
What Would You Prefer?,"[0.4, 1.0, 0.05, 14.3, 0.0, 1.0, 1.0, 0.15447154471544716, 0.27439024390243905, 0.8005759010302573, 143.0, 0.4, 0.6363636363636364, 0.5]"
Kef 21,"[0.2, 1.0, 0.35, 1.2571428571428571, 1.896936305451181, 0.8571428571428571, 0.2857142857142857, 0.1724137931034483, 0.33098591549295775, 0.7863280819540956, 12.571428571428571, 0.4, 1.0, 0.3]"
Stray,"[0.1, 1.0, 0.15, 3.0, 3.3941125496954276, 1.0, 0.3333333333333333, 0.12698412698412698, 0.366120218579235, 0.7690014208559757, 30.0, 0.4, 0.6666666666666666, 0.3]"
The Crystal in Tamalpais,"[0.4, 1.0, 0.35, 2.1285714285714286, 5.187583291684411, 1.0, 0.14285714285714285, 0.15217391304347827, 0.286231884057971, 0.7968681158650347, 21.285714285714285, 0.4, 0.8181818181818182, 0.1]"
ResumÃ©,"[0.1, 1.0, 0.05, 1.9, 0.0, 1.0, 1.0, 0.11764705882352941, 0.2978723404255319, 0.8178527312445678, 19.0, 0.4, 0.7692307692307693, 0.3]"
Objects In Mirror Are Closer Than They Appear,"[0.8, 1.0, 0.35, 1.9857142857142858, 4.343045108714223, 1.0, 0.14285714285714285, 0.19834710743801653, 0.3140794223826715, 0.7893963012222152, 19.857142857142858, 0.6, 0.8333333333333334, 0.1]"
The Buried Life,"[0.3, 1.0, 0.1, 30.7, 50.0, 1.0, 0.5, 0.12903225806451613, 0.35213675213675216, 0.7807065436093619, 307.0, 0.4, 0.8461538461538461, 0.3]"
Earth's Answer,"[0.2, 1.0, 0.2, 2.7, 3.1016124838541645, 0.75, 0.5, 0.23076923076923078, 0.34444444444444444, 0.7715981397310653, 27.0, 0.4, 0.6666666666666666, 0.2]"
Sleepers,"[0.1, 1.0, 0.05, 12.0, 0.0, 1.0, 1.0, 0.2073170731707317, 0.27, 0.7913865061272384, 120.0, 0.4, 0.8, 0.4]"
Pulling Over to Inspect a Pillbox with a North American Tourist,"[1.1, 0.9090909090909091, 0.2, 1.575, 1.8940696924875813, 1.0, 0.25, 0.13636363636363635, 0.2892561983471074, 0.7751213876841727, 15.75, 0.4, 0.75, 0.1]"
What the Stars Meant,"[0.4, 1.0, 1.95, 1.4102564102564101, 1.9683625222672787, 0.717948717948718, 0.1282051282051282, 0.12200435729847495, 0.31847725162488394, 0.778702005755454, 14.102564102564102, 0.4, 0.7, 0.1]"
Bell Theory,"[0.2, 1.0, 0.75, 2.0933333333333333, 3.860546881236157, 0.8666666666666667, 0.13333333333333333, 0.1708542713567839, 0.2942122186495177, 0.7975776001639611, 20.933333333333334, 0.6, 0.625, 0.1]"
An Egg Island Equinox,"[0.4, 1.0, 0.2, 2.625, 2.503497553424009, 0.75, 0.5, 0.17582417582417584, 0.3013698630136986, 0.7840332863943908, 26.25, 0.4, 0.7692307692307693, 0.2]"
[mosquito at my ear],"[0.4, 1.0, 0.1, 0.45, 0.5, 1.0, 0.5, 0.0, 0.26666666666666666, 0.8075265869922914, 4.5, 0.4, 0.6153846153846154, 0.1]"
The Evening of the Mind,"[0.5, 0.8, 0.1, 8.25, 8.9, 1.0, 0.5, 0.17886178861788618, 0.2553846153846154, 0.8280299642295695, 82.5, 0.4, 0.9230769230769231, 0.1]"
[A drunk cadet had hit them],"[0.6, 1.0, 1.2, 2.4541666666666666, 4.401128327549147, 0.75, 0.16666666666666666, 0.12602739726027398, 0.3292452830188679, 0.778091906641838, 24.541666666666668, 0.4, 0.75, 0.1]"
Self-Help,"[0.1, 1.0, 0.05, 12.4, 0.0, 1.0, 1.0, 0.15217391304347827, 0.2765957446808511, 0.8274712227597555, 124.0, 0.4, 0.9090909090909091, 0.6]"
Dragging the Lake,"[0.3, 1.0, 0.5, 1.7100000000000002, 2.9222593998480013, 0.9, 0.2, 0.16993464052287582, 0.3263473053892216, 0.7650182597829499, 17.1, 0.4, 0.7272727272727273, 0.1]"
The Truth,"[0.2, 1.0, 0.2, 2.25, 2.7586228448267445, 1.0, 0.25, 0.1794871794871795, 0.3, 0.8008479624144256, 22.5, 0.4, 1.0, 0.5]"
Old Strange Book,"[0.3, 1.0, 0.35, 4.871428571428572, 4.691285886119724, 1.0, 0.14285714285714285, 0.14885496183206107, 0.2890262751159196, 0.8023503897486775, 48.714285714285715, 0.4, 0.8461538461538461, 0.6]"
Glitch,"[0.1, 1.0, 0.05, 12.1, 0.0, 1.0, 1.0, 0.15384615384615385, 0.336322869955157, 0.7777919697390366, 121.0, 0.4, 0.8888888888888888, 0.1]"
What to Say Upon Being Asked to Be Friends,"[0.9, 0.8888888888888888, 0.15, 3.5666666666666664, 8.109802025258626, 0.6666666666666666, 0.6666666666666666, 0.2222222222222222, 0.2810810810810811, 0.8136028278364965, 35.666666666666664, 0.6, 0.625, 0.1]"
The Crossing,"[0.2, 1.0, 0.75, 0.42666666666666664, 0.296348143611905, 0.8666666666666667, 0.13333333333333333, 0.17857142857142858, 0.3617021276595745, 0.7624200587665396, 4.266666666666667, 0.4, 0.8888888888888888, 0.3]"
series 2,"[0.2, 1.0, 0.05, 4.2, 0.0, 1.0, 1.0, 0.125, 0.2631578947368421, 0.7782831061124109, 42.0, 0.4, 0.7777777777777778, 0.1]"
The Suicide's Wife,"[0.3, 1.0, 0.05, 19.8, 0.0, 1.0, 1.0, 0.19718309859154928, 0.3393258426966292, 0.7663980082699754, 198.0, 0.4, 0.8181818181818182, 0.2]"
The Unruly Child,"[0.3, 1.0, 0.1, 7.75, 12.3, 1.0, 0.5, 0.1262135922330097, 0.28160919540229884, 0.7955629694124653, 77.5, 0.4, 0.8181818181818182, 0.5]"
A Language,"[0.2, 1.0, 0.25, 8.32, 8.840271489043761, 1.0, 0.2, 0.14685314685314685, 0.3518005540166205, 0.7682677446424924, 83.2, 0.4, 0.6666666666666666, 0.1]"
Stone Canyon Nocturne,"[0.3, 1.0, 0.2, 2.7, 2.668332812825267, 1.0, 0.25, 0.1875, 0.3333333333333333, 0.7733854256047077, 27.0, 0.4, 0.8461538461538461, 0.3]"
Hour,"[0.1, 1.0, 0.25, 0.9400000000000001, 1.6424372134118248, 0.8, 0.4, 0.19696969696969696, 0.3076923076923077, 0.7500130899453489, 9.4, 0.4, 0.7333333333333333, 0.1]"
At Popham Beach,"[0.3, 1.0, 0.5, 1.3199999999999998, 0.6799999999999999, 0.9, 0.2, 0.19736842105263158, 0.32882882882882886, 0.7553188729521386, 13.2, 0.4, 0.7692307692307693, 0.5]"
Before Anything Happened the House Had No Skeleton,"[0.8, 1.0, 0.05, 13.3, 0.0, 1.0, 1.0, 0.16494845360824742, 0.38333333333333336, 0.7473099749218601, 133.0, 0.4, 0.6923076923076923, 0.4]"
The Night City,"[0.3, 1.0, 0.4, 1.9125, 3.3918099887818007, 0.875, 0.25, 0.18548387096774194, 0.28308823529411764, 0.7890128728761847, 19.125, 0.6, 0.8, 0.1]"
Blow It Back,"[0.3, 1.0, 0.15, 8.533333333333333, 3.7321426672742413, 1.0, 0.3333333333333333, 0.17989417989417988, 0.28865979381443296, 0.7919880764588126, 85.33333333333333, 0.4, 0.6666666666666666, 0.6]"
Female Fashions for 1799,"[0.4, 1.0, 0.95, 1.0421052631578946, 0.3199722979699087, 0.5882352941176471, 0.23529411764705882, 0.18796992481203006, 0.2914285714285714, 0.7789669880162738, 10.421052631578947, 0.4, 0.75, 0.2]"
The University of Essex,"[0.4, 1.0, 0.2, 7.8, 10.432641084595982, 1.0, 0.25, 0.1810344827586207, 0.3388581952117864, 0.7710820799446606, 78.0, 0.4, 0.7, 0.6]"
Body and Soul,"[0.3, 1.0, 0.05, 16.8, 0.0, 1.0, 1.0, 0.15151515151515152, 0.32567049808429116, 0.8014224148873336, 168.0, 0.4, 0.7272727272727273, 0.1]"
Hippogriff,"[0.1, 1.0, 0.1, 2.15, 3.1, 1.0, 1.0, 0.16666666666666666, 0.2625, 0.7708284154625954, 21.5, 0.6, 0.7777777777777778, 0.6]"
W?keaÂs Blue Teeth (a super bowl poem),"[0.7, 1.0, 1.3, 1.3115384615384615, 2.1734955349014835, 0.7307692307692307, 0.11538461538461539, 0.13725490196078433, 0.2857142857142857, 0.8109902081123842, 13.115384615384615, 0.6, 0.7368421052631579, 0.5]"
For My Daughter,"[0.3, 1.0, 0.4, 1.4875, 1.2901065847440667, 1.0, 0.125, 0.17105263157894737, 0.34, 0.7682387053529908, 14.875, 0.4, 0.4666666666666667, 0.5]"
Story of a Tree,"[0.4, 1.0, 0.15, 10.633333333333333, 4.514667454223204, 1.0, 0.3333333333333333, 0.17982456140350878, 0.2518301610541728, 0.8316402827942863, 106.33333333333333, 0.4, 0.8, 0.4]"
Lucifer in Starlight,"[0.3, 1.0, 0.05, 9.8, 0.0, 1.0, 1.0, 0.20512820512820512, 0.34782608695652173, 0.7453615679635665, 98.0, 0.4, 0.6428571428571429, 0.5]"
How to Look at Pictures,"[0.5, 1.0, 0.65, 1.323076923076923, 2.018611626690059, 0.8461538461538461, 0.15384615384615385, 0.13821138211382114, 0.28285714285714286, 0.8180915959316869, 13.23076923076923, 0.6, 0.6111111111111112, 0.1]"
Summer near the River,"[0.4, 1.0, 0.25, 4.18, 2.6695317941541736, 1.0, 0.25, 0.20270270270270271, 0.29048843187660667, 0.8186195563114159, 41.8, 0.4, 0.9166666666666666, 0.2]"
[His father carved umbrella handles...],"[0.5, 1.0, 0.8, 1.46875, 1.256421008261164, 0.6666666666666666, 0.26666666666666666, 0.16176470588235295, 0.3448275862068966, 0.7728431011326524, 14.6875, 0.4, 0.8125, 0.1]"
Crushing,"[0.1, 1.0, 0.05, 12.7, 0.0, 1.0, 1.0, 0.18584070796460178, 0.3283018867924528, 0.7757516887204815, 127.0, 0.4, 0.8888888888888888, 0.1]"
its happenin/ but you dont know abt it,"[0.8, 1.0, 0.05, 21.7, 0.0, 1.0, 1.0, 0.2076923076923077, 0.2680965147453083, 0.8283438958060008, 217.0, 0.4, 0.7692307692307693, 0.1]"
Dream Land,"[0.2, 1.0, 0.45, 1.3777777777777778, 0.80981631814616, 0.8888888888888888, 0.2222222222222222, 0.19672131147540983, 0.4439461883408072, 0.690801557083506, 13.777777777777779, 0.4, 0.5882352941176471, 0.3]"
Singing School,"[0.2, 1.0, 3.8, 1.3605263157894736, 2.871654382401677, 0.6533333333333333, 0.08, 0.10709987966305656, 0.3270408163265306, 0.7829712324749692, 13.605263157894736, 0.4, 0.6666666666666666, 0.4]"
Ingrateful Beauty Threatened,"[0.3, 1.0, 0.35, 1.6142857142857143, 1.306811042974774, 0.7142857142857143, 0.2857142857142857, 0.11235955056179775, 0.31351351351351353, 0.792991826035037, 16.142857142857142, 0.4, 0.9090909090909091, 0.5]"
First Wound Kept Open,"[0.4, 1.0, 0.2, 3.5, 5.702630971753301, 0.75, 0.5, 0.18421052631578946, 0.29152542372881357, 0.7927578158065357, 35.0, 0.4, 0.6875, 0.5]"
Anaerobe,"[0.1, 1.0, 0.15, 1.1333333333333333, 1.319932658214889, 1.0, 0.3333333333333333, 0.24561403508771928, 0.34065934065934067, 0.7461387155501598, 11.333333333333334, 0.4, 0.7692307692307693, 0.1]"
Back to Country with Pulitzer,"[0.5, 1.0, 0.6, 2.716666666666667, 4.640282558446438, 1.0, 0.08333333333333333, 0.14835164835164835, 0.3125, 0.788672569391891, 27.166666666666668, 0.4, 0.9, 0.3]"
Nuremberg,"[0.1, 1.0, 1.25, 2.2920000000000003, 1.846007583949752, 0.72, 0.08, 0.1318181818181818, 0.3316929133858268, 0.7790376214674214, 22.92, 0.6, 0.5833333333333334, 0.5]"
The Boston Evening Transcript,"[0.4, 1.0, 0.1, 4.1, 4.8, 1.0, 0.5, 0.1746031746031746, 0.375886524822695, 0.7496458696881848, 41.0, 0.6, 0.7777777777777778, 0.2]"
The Romance of Middle Age,"[0.5, 1.0, 0.35, 1.6, 1.1612800818800901, 0.8571428571428571, 0.2857142857142857, 0.23943661971830985, 0.30978260869565216, 0.7795757715961509, 16.0, 0.4, 0.6, 0.6]"
Since Unfinished,"[0.2, 1.0, 0.3, 4.966666666666667, 0.9213516640723503, 0.8333333333333334, 0.3333333333333333, 0.15112540192926044, 0.3321678321678322, 0.7702510026534876, 49.666666666666664, 0.4, 0.7692307692307693, 0.1]"
Nativity Scene in Bullet-Time,"[0.4, 1.0, 0.1, 9.15, 5.3, 1.0, 0.5, 0.17964071856287425, 0.3418803418803419, 0.7693717958894628, 91.5, 0.6, 0.6666666666666666, 0.6]"
Did It Ever Occur to You That Maybe YouÂre Falling in Love?,"[1.2, 1.0, 0.85, 2.4529411764705884, 5.859579445683522, 0.7647058823529411, 0.23529411764705882, 0.13095238095238096, 0.3821656050955414, 0.747955772225083, 24.529411764705884, 0.4, 0.75, 0.2]"
Sverine in Summer School,"[0.4, 1.0, 0.55, 1.7181818181818183, 2.4787360148682547, 1.0, 0.09090909090909091, 0.19708029197080293, 0.3115727002967359, 0.7863620185539263, 17.181818181818183, 0.4, 0.7777777777777778, 0.5]"
Cups: 1,"[0.2, 1.0, 0.35, 1.5714285714285714, 3.53709208364205, 0.8571428571428571, 0.2857142857142857, 0.20952380952380953, 0.35874439461883406, 0.7651766231674019, 15.714285714285714, 0.4, 0.8181818181818182, 0.1]"
Act,"[0.1, 1.0, 0.25, 3.38, 10.239062457080726, 1.0, 0.2, 0.22826086956521738, 0.30434782608695654, 0.8038460592774267, 33.8, 0.4, 0.6875, 0.3]"
Columbus Park,"[0.2, 1.0, 0.75, 0.8933333333333333, 0.34615346628659116, 1.0, 0.06666666666666667, 0.16455696202531644, 0.3869565217391304, 0.7475988494581646, 8.933333333333334, 0.6, 0.5625, 0.2]"
Imps,"[0.1, 1.0, 0.5, 5.01, 8.89019684821433, 0.8888888888888888, 0.2222222222222222, 0.14928909952606634, 0.29460966542750927, 0.7961598710524388, 50.1, 0.4, 0.6666666666666666, 0.5]"
Ulysses,"[0.1, 1.0, 0.15, 18.833333333333336, 15.154610592892917, 1.0, 0.3333333333333333, 0.15384615384615385, 0.3378226711560045, 0.7762006743519514, 188.33333333333334, 0.6, 0.631578947368421, 0.4]"
"Sonnet 104: To me, fair friend, you never can be old","[1.1, 1.0, 0.2, 2.925, 2.1696773953747135, 1.0, 0.25, 0.1780821917808219, 0.37962962962962965, 0.7925925774540818, 29.25, 0.4, 0.6111111111111112, 0.4]"
To Wordsworth,"[0.2, 1.0, 0.1, 11.65, 17.3, 1.0, 0.5, 0.15025906735751296, 0.354916067146283, 0.7816579246539179, 116.5, 0.6, 0.6666666666666666, 0.5]"
My Soul,"[0.2, 1.0, 0.25, 1.64, 2.6969612529660116, 1.0, 0.2, 0.1746031746031746, 0.33064516129032256, 0.7789904509273374, 16.4, 0.4, 0.6363636363636364, 0.1]"
Prayer for Those on the Staff,"[0.6, 1.0, 0.55, 1.8454545454545452, 2.2681408267383563, 0.8181818181818182, 0.18181818181818182, 0.17482517482517482, 0.35443037974683544, 0.7711079443869964, 18.454545454545453, 0.4, 0.7142857142857143, 0.1]"
"The ButcherÂs Apprentice, 1911Â1914","[0.4, 1.0, 0.1, 5.8, 1.4, 1.0, 0.5, 0.21212121212121213, 0.32242990654205606, 0.7808455242127309, 58.0, 0.4, 0.9, 0.2]"
Rendezvous with America,"[0.3, 1.0, 7.85, 0.9439490445859873, 2.349721499108383, 0.3684210526315789, 0.10526315789473684, 0.0746147607461476, 0.31283710895361383, 0.7678805783192764, 9.439490445859873, 0.6, 0.7857142857142857, 0.6]"
A Message from the Wanderer,"[0.5, 1.0, 0.2, 5.05, 9.84733466477097, 1.0, 0.25, 0.17985611510791366, 0.36523929471032746, 0.7789177708426394, 50.5, 0.6, 0.7647058823529411, 0.3]"
Today,"[0.1, 1.0, 0.05, 4.6, 0.0, 1.0, 1.0, 0.25, 0.32407407407407407, 0.8022988464306984, 46.0, 0.4, 0.8461538461538461, 0.3]"
Eating Babies,"[0.2, 1.0, 0.25, 3.72, 4.052456045412461, 1.0, 0.25, 0.17857142857142858, 0.34591194968553457, 0.7958028102039072, 37.2, 0.4, 0.7, 0.1]"
As the Team's Head Brass,"[0.5, 1.0, 0.1, 15.3, 12.8, 1.0, 0.5, 0.18229166666666666, 0.33814432989690724, 0.7666232542689789, 153.0, 0.4, 0.8333333333333334, 0.2]"
Masada,"[0.1, 1.0, 0.05, 9.6, 0.0, 1.0, 1.0, 0.20270270270270271, 0.294478527607362, 0.7941080750207191, 96.0, 0.4, 0.6363636363636364, 0.5]"
W is for Walt Whitman's Soul,"[0.6, 1.0, 0.1, 23.5, 43.0, 1.0, 0.5, 0.1640378548895899, 0.2803398058252427, 0.7835186628211233, 235.0, 0.4, 0.8181818181818182, 0.5]"
We Eat Out Together,"[0.4, 1.0, 0.05, 8.9, 0.0, 1.0, 1.0, 0.20754716981132076, 0.34574468085106386, 0.7730008933053064, 89.0, 0.4, 0.6, 0.2]"
If They Should Come for Us,"[0.6, 1.0, 0.05, 23.5, 0.0, 1.0, 1.0, 0.1778846153846154, 0.2775229357798165, 0.7999485643788798, 235.0, 0.4, 0.6923076923076923, 0.1]"
Block Cipher,"[0.2, 1.0, 1.7, 0.23823529411764705, 0.25211904696160986, 0.7272727272727273, 0.12121212121212122, 0.25333333333333335, 0.28191489361702127, 0.7801071199604239, 2.3823529411764706, 0.4, 0.9166666666666666, 0.1]"
"From ""DRIFT""","[0.2, 1.0, 1.9, 9.405263157894737, 86.06106702579122, 0.45454545454545453, 0.5454545454545454, 0.07532467532467532, 0.30662305805396567, 0.7877791530751005, 94.05263157894737, 0.4, 0.6875, 0.1]"
And the Moon on Its Stem Will Steal You Away,"[1.0, 1.0, 0.9, 1.922222222222222, 2.1505095577617626, 0.7777777777777778, 0.16666666666666666, 0.14423076923076922, 0.2713864306784661, 0.8144820733584918, 19.22222222222222, 0.4, 0.75, 0.6]"
Incident at Grantley Manor,"[0.4, 1.0, 0.9, 2.4833333333333334, 3.3141112433551974, 0.5294117647058824, 0.29411764705882354, 0.1462140992167102, 0.3258026159334126, 0.7554770333553175, 24.833333333333332, 0.4, 0.8333333333333334, 0.6]"
from The Marriage of Heaven and Hell:Â The Argument,"[0.9, 0.8888888888888888, 0.05, 11.0, 0.0, 1.0, 1.0, 0.21505376344086022, 0.3399014778325123, 0.7638105627656976, 110.0, 0.4, 0.6666666666666666, 0.1]"
The Nuns Assist at Childbirth,"[0.5, 1.0, 0.2, 2.5, 3.181194744117373, 1.0, 0.25, 0.18627450980392157, 0.3230769230769231, 0.7810937737339353, 25.0, 0.4, 0.6666666666666666, 0.6]"
Counter-Attack,"[0.1, 1.0, 0.9, 1.6555555555555557, 2.5256217911830676, 0.75, 0.16666666666666666, 0.1543859649122807, 0.333984375, 0.768593734139666, 16.555555555555557, 0.4, 0.625, 0.3]"
The British Church,"[0.3, 1.0, 0.55, 1.3545454545454545, 0.668042657122685, 0.9090909090909091, 0.18181818181818182, 0.13402061855670103, 0.3650190114068441, 0.7681980753744146, 13.545454545454545, 0.4, 0.5384615384615384, 0.4]"
The Ocracoke Ponies,"[0.3, 1.0, 0.3, 2.2666666666666666, 0.9213516640723501, 1.0, 0.16666666666666666, 0.18947368421052632, 0.3134920634920635, 0.7822583994082976, 22.666666666666668, 0.4, 0.7692307692307693, 0.1]"
Better Late than Never,"[0.4, 1.0, 0.1, 1.3, 1.0, 1.0, 0.5, 0.0, 0.2653061224489796, 0.8449137555800162, 13.0, 0.4, 1.0, 0.5]"
Walking with My Delaware Grandfather,"[0.5, 1.0, 0.8, 1.15, 0.4743416490252569, 0.8, 0.13333333333333333, 0.20754716981132076, 0.329153605015674, 0.7849152801122821, 11.5, 0.4, 0.8888888888888888, 0.1]"
The Puppy,"[0.2, 1.0, 0.2, 2.725, 1.1169153951844337, 1.0, 0.25, 0.171875, 0.3231707317073171, 0.7669255524516733, 27.25, 0.4, 0.9166666666666666, 0.1]"
from Sunday Morning,"[0.3, 1.0, 0.1, 9.7, 6.8, 1.0, 0.5, 0.19021739130434784, 0.30913978494623656, 0.7842129131689347, 97.0, 0.4, 0.8181818181818182, 0.1]"
Still Start,"[0.2, 1.0, 0.05, 1.8, 0.0, 1.0, 1.0, 0.2222222222222222, 0.3076923076923077, 0.7269862281524015, 18.0, 0.4, 0.7142857142857143, 0.1]"
In Memoriam A. H. H. OBIIT MDCCCXXXIII: 96,"[0.8, 0.875, 0.65, 1.2538461538461538, 1.3350088092256391, 0.9230769230769231, 0.15384615384615385, 0.16806722689075632, 0.3466135458167331, 0.7762709424972786, 12.538461538461538, 0.6, 0.631578947368421, 0.5]"
